,text,Classification,compound
0,"#14Maio | #Coronavirus Relatório da DGS, Direção Geral da Saúde, do dia de hoje #COVID19PT",Neutral,0.0
1,"#14Maio | #Coronavirus 28.319 o número de casos confirmados e 1.184 óbitos em #Portugal, revela o boletim desta quinta-feira #COVID19PT",Positive,0.0772
2,"Kkkk aiai To que nem o Emílio Surita, dois assuntos que não aguento mais; Política e Corona Vírus. Chega ",Positive,0.3612
3,Este ano tava com expectativas de fazer + e melhor e coronavírus fucked me,Negative,-0.3612
4," Cuidando da minha prima vtrpontes no famoso hotdog de Cascais, Junho 1994. #djponttes #igers #tbt #coronavirus #fiqueemcasa #salvador #dj #djlife #hotdogcascais #emcasa #stayathome #música #music #bahia… https://www.instagram.com/p/CAK4tGOgGYt/?igshid=1hd881k88cb3h",Positive,0.4939
5," MY NEW GIRLS AT HOME . Depois das obras começou o processo de (re)decoração das divisões, que está atrasado com isto tudo do Corona Vírus, mas depois prometo mostrar tudo! . Outro dos objectivos para esta nova… https://www.instagram.com/p/CAKrP9QHMkx/?igshid=t0uyre6jkmrb",Positive,0.4199
6,"A língua é uma coisa viva e o acordês é uma língua morta, foi ferida por um vírus pior nos seus efeitos sociais e culturais do que o corona vírus.",Negative,-0.8779
7,"A #Helpo reabilitou a sala de pediatria do Hospital da Ilha de Moçambique, para internamento exclusivo de pacientes de COVID-19. Este necessidade foi levantada quando, no passado mês, ali entregámos material de desinfeção e proteção individual para o coronavirus. ",Positive,0.128
8,"A Liga Italiana está de volta. E vai reiniciar a 13 de Junho, que será a data prevista para o reinício. #SerieA #STOPCOVID19 #COVID2019 #FicaEmCasa #Coronavirus ",Neutral,0.0
9,13 de Maio 2020. Fim de tarde mágico numa Lisboa apocalíptica nas stories. . #reconnect #takecare #stayhome #reset #gratitude #gratefull #newworld #covid19 #corona #virus #coronavirus #humanity #humbleness… https://www.instagram.com/p/CAJCJhXBehr/?igshid=148w88gfh62iq,Negative,-0.2732
10,"Quase dois meses após a paragem devido ao surto de #coronavírus, a Autoeuropa retomou a sua produção. Hoje, com o Primeiro-ministro, @antoniocostapm, e o Presidente da República, Marcelo Rebelo de Sousa, visitamos as instalações, assinalando a retoma da atividade. #XXIIGoverno – at Autoeuropa",Negative,-0.1531
11,Com ou sem Coronavirus estes senhores propagam sempre vírus...,Neutral,0.0
12,"Estes seriam os 17 artistas da primeira semifinal. A Suécia foi o primeiro que poderia entrar no palco. No dia 14, vai ser diferente com a Elisa. #ESC2020 #EurovisionSongCelebration #Eurovision #STOPCOVID19 #COVID2019 #Coronavirus ",Neutral,0.0
13,Até amanhã Stay alive inside coronavirus ,Positive,0.3818
14,Se esse tipo de casinho os cara já aumenta um monte imagina sobre a situação do coronavirus... sério. Fdps botam pânico na gente só pra ganharem audiência!,Negative,-0.2244
15,"ABC: ""Uma oferta de Sol e praias livres de coronavírus"" http://dlvr.it/RWT8V5 Em http://www.TSF.pt",Positive,0.5106
16,"#11Maio | #Coronavirus 27.679 o número de casos confirmados e 1.144 óbitos em #Portugal, revela o boletim desta segunda-feira #COVID19PT",Positive,0.0772
17,Brasil regista 496 mortes e 6760 casos de coronavírus nas últimas 24 horas http://dlvr.it/RWPfRg Em http://www.TSF.pt,Neutral,0.0
18,É por isto que amo o que Portugal tem feito para enfrentar o coronavirus #LeaveNoOneBehind,Positive,0.6369
19,"É uma pena que a Elisa irá a Roterdão este ano na Eurovisão que cancelou por Coronavirus, mas ela e a Marta Carvalho estarão presentes no Eurovision Shine A Light em Hilversum. #Eurovision #EurovisionShineALight #FicaEmCasa #STOPCOVID19",Negative,-0.1531
20,Spoiler: Portugal descobriu hoje que a vacina BCG previne o corona vírus.,Positive,0.0772
21,"David Tavares, jogador do Benfica, infetado pelo novo coronavírus http://dlvr.it/RWNVS4 Em http://www.TSF.pt",Negative,-0.4939
22,"Filme: Traição necessária “Bruna: Alguns casais deviam de passar por isso, mandei pro ar quem quiser que apanhe, tipo corona vírus” ",Negative,-0.6249
23,O brasileiro precisa ser estudado onde essas pessoas estão que não viram que o mundo todo se fechou por conta do Corona virus? Estes vivem em uma bolha!!! O que fico mais impressionado que bolsominion parece serem carimbados que não se contaminam!!,Positive,0.6768
24,"O @guardian mostra a diferença entre Argentina e Brasil no combate ao coronavírus e diz: Bolsonaro dizia que a Argentina estava mais perto de virar uma Venezuela. Mas, diante da Covid, é o Brasil que está mais perto de uma emergência humanitária. ",Negative,-0.631
25,"Garay, campeão! Recuperado do coronavírus, Garay reencontra os filhos em momento comovente ",Positive,0.636
26,"Covid19 , Coronavirus, que importa?? ""Porque Ele vive...posso crer no amanhã...eu bem sei que o meu futuro está nas Suas Mãos"" Não é uma canção, é o nosso estilo de vida. Eu espero e creio em JESUS! #bomdia em… https://www.instagram.com/p/CAAHrSTnO30/?igshid=11nt5z40y9qyv",Positive,0.7616
27,Brasil regista 10.627 mortes e mais de 155 mil casos do novo coronavírus http://dlvr.it/RWM804 Em http://www.TSF.pt,Neutral,0.0
28,"Como dizia o grande Arsene Wenger, a era Ronaldo-Messi está a chegar ao fim. O Cristiano têm 35 anos e o Messi vai fazer no próximo mês, 33. Ambos são os melhores da história recente do futebol mundial. #FicaEmCasa #STOPCOVID19 #COVID2019 #Coronavirus ",Positive,0.8934
29,Socorrooo entrei no tinder agora e vi que o negocio ta BOMBANDO! Vamoos de #coronaVirus,Neutral,0.0
